"","id","expr","polarity","list","primetype","setup","question","response","type","truefalse_question","truefalse_answer"
"19","journalist","some","negative",2,"primed","The famous journalist has published  in-depth articles in The New York Times","Has she also published some articles in The Washington Post?","</b>No. <b> The journalist hasn't written some articles for The Washington Post","critical","na","na"
"20","tulips","any","positive",2,"primed","There are  tulip bulbs in the bag we bought at the nursery","Is there any space to plant them in the garden?","</b>Yes. <b> We have space to plant any tulip bulbs","critical","na","na"
"21","tickets","bare","negative",2,"primed","There are    20 people on the waiting list for tonight's concert","Have tickets become available for all of them?","</b>No. <b> We don't have    20 tickets available","critical","na","na"
"22","nominees","about","positive",2,"primed","The teachers have nominated about   20 promising students to receive scholarships","Do we have enough money in our budget to cover that many?","</b>Yes. <b> We have the money for about   20 scholarships","critical","na","na"
"23","salesmeeting","between","negative",2,"primed","In two weeks, between   50  and  60 regional employees will be flying to company headquarters for the annual sales meeting","Have we booked hotel rooms for them?","</b>No. <b> We haven't made between   50  and  60 hotel reservations","critical","na","na"
"24","exam","morethan","positive",2,"primed","If a student's exam paper contains more than   10 misspelled words, it may need to be rewritten","Will Connor's exam paper need to be rewritten?","</b>Yes. <b> There were more than   10 spelling errors in his exam","critical","na","na"
"25","voting","atleast","negative",2,"primed","The Board of Elections predicted that at least   200 overseas voters would vote by mail","Is that how many absentee ballots have been mailed in?","</b>No. <b> We haven't received at least   200 absentee ballots","critical","na","na"
"26","delegates","some","positive",2,"primed","This afternoon,  delegates will be arriving to attend the convention","Do we have some copies of the agenda for them?","</b>Yes. <b> We've printed some copies of the agenda","critical","na","na"
"27","cakes","any","negative",2,"primed","The hotel has ordered  large chocolate cakes for the party tonight","Have we baked any cakes to fill their order?","</b>No. <b> The baker hasn't made any chocolate cakes","critical","na","na"
"28","presents","bare","positive",2,"primed","This year at Christmas, Suzy got    12 presents from her aunts, uncles and cousins","Did her classmate Timmy get as many presents?","</b>Yes. <b> Timmy got    12 presents from his relatives","critical","na","na"
"29","jobposting","about","negative",3,"primed","The last time we advertised a job opening, about   30 people applied from all over the country","Are we seeing similar results for the currently advertised job?","</b>No. <b> We haven't received about   30 applications for the current job","critical","na","na"
"30","algebra","between","positive",3,"primed","We predicted that between   30  and  40 sophomores would register for the advanced algebra class","Are the registrations in line with what we expected?","</b>Yes. <b> There are between   30  and  40 sophomores registered for the class","critical","na","na"
"31","chairs","morethan","negative",3,"primed","This evening, more than   16 committee members will be coming for the planning meeting","Do we have enough seats in the meeting room?","</b>No. <b> We haven't set up more than   16 chairs in the meeting room","critical","na","na"
"32","journalist","atleast","positive",3,"primed","The famous journalist has published at least   15 in-depth articles in The New York Times","Has her work appeared as often in The Washington Post?","</b>Yes. <b> The journalist has written at least   15 articles for The Washington Post","critical","na","na"
"33","tulips","some","negative",3,"primed","There are  tulip bulbs in the bag we bought at the nursery","Is there some space to plant them in the garden?","</b>No. <b> We don't have space to plant some tulip bulbs","critical","na","na"
"34","tickets","any","positive",3,"primed","There are  people on the waiting list for tonight's concert","Have any tickets become available for them?","</b>Yes. <b> We have any tickets available","critical","na","na"
"35","nominees","bare","negative",3,"primed","The teachers have nominated    20 promising students to receive scholarships","Do we have enough money in our budget to cover that many?","</b>No. <b> We don't have the money for    20 scholarships","critical","na","na"
"36","salesmeeting","about","positive",3,"primed","In two weeks, about   60 regional employees will be flying to company headquarters for the annual sales meeting","Have we booked hotel rooms for them?","</b>Yes. <b> We've made about   60 hotel reservations","critical","na","na"
"37","exam","between","negative",3,"primed","If a student's exam paper contains between   5  and  10 misspelled words, it may need to be rewritten","Will Connor's exam paper need to be rewritten?","</b>No. <b> There weren't between   5  and  10 spelling errors in his exam","critical","na","na"
"38","voting","morethan","positive",3,"primed","The Board of Elections predicted that more than   200 overseas voters would vote by mail","Is that how many absentee ballots have been mailed in?","</b>Yes. <b> We've received more than   200 absentee ballots","critical","na","na"
"39","delegates","atleast","negative",3,"primed","This afternoon, at least   20 delegates will be arriving to attend the convention","Do we have enough copies of the agenda for them? ","</b>No. <b> We haven't printed at least   20 copies of the agenda","critical","na","na"
"40","cakes","some","positive",3,"primed","The hotel has ordered  large chocolate cakes for the party tonight","Have we baked some cakes to fill their order?","</b>Yes. <b> The baker has made some chocolate cakes","critical","na","na"
"41","presents","any","negative",3,"primed","This year at Christmas, Suzy got  presents from her aunts, uncles and cousins","Did her classmate Timmy get any presents from his relatives?","</b>No. <b> Timmy didn't get any presents from his relatives","critical","na","na"
"42","builders","bare","positive",3,"primed","Last year, the construction company built    80 houses in California, Arizona and Nevada","Is the company's performance similar this year?","</b>Yes. <b> The company has constructed    80 houses this year","critical","na","na"
"43","algebra","about","negative",4,"primed","We predicted that about   40 sophomores would register for the advanced algebra class","Are the registrations in line with what we expected?","</b>No. <b> There aren't about   40 sophomores registered for the class","critical","na","na"
"44","chairs","between","positive",4,"primed","This evening, between   12  and  16 committee members will be coming for the planning meeting","Do we have enough seats in the meeting room?","</b>Yes. <b> We've set up between   12  and  16 chairs in the meeting room","critical","na","na"
"45","journalist","morethan","negative",4,"primed","The famous journalist has published more than   15 in-depth articles in The New York Times","Has her work appeared as often in The Washington Post?","</b>No. <b> The journalist hasn't written more than   15 articles for The Washington Post","critical","na","na"
"46","tulips","atleast","positive",4,"primed","There are at least   40 tulip bulbs in the bag we bought at the nursery","Is there space to plant them in the garden?","</b>Yes. <b> We have space to plant at least   40 tulip bulbs","critical","na","na"
"47","tickets","some","negative",4,"primed","There are  people on the waiting list for tonight's concert","Have some tickets become available for them?","</b>No. <b> We don't have some tickets available","critical","na","na"
"48","nominees","any","positive",4,"primed","The teachers have nominated  promising students to receive scholarships","Do we have any money in our budget to pay for them?","</b>Yes. <b> We have the money for any scholarships","critical","na","na"
"49","salesmeeting","bare","negative",4,"primed","In two weeks,    60 regional employees will be flying to company headquarters for the annual sales meeting","Have we booked hotel rooms for them?","</b>No. <b> We haven't made    60 hotel reservations","critical","na","na"
"50","exam","about","positive",4,"primed","If a student's exam paper contains about   10 misspelled words, it may need to be rewritten","Will Connor's exam paper need to be rewritten?","</b>Yes. <b> There were about   10 spelling errors in his exam","critical","na","na"
"51","voting","between","negative",4,"primed","The Board of Elections predicted that between   150  and  200 overseas voters would vote by mail","Is that how many absentee ballots have been mailed in?","</b>No. <b> We haven't received between   150  and  200 absentee ballots","critical","na","na"
"52","delegates","morethan","positive",4,"primed","This afternoon, more than   20 delegates will be arriving to attend the convention","Do we have enough copies of the agenda for them? ","</b>Yes. <b> We've printed more than   20 copies of the agenda","critical","na","na"
"53","cakes","atleast","negative",4,"primed","The hotel has ordered at least   8 large chocolate cakes for the party tonight","Have we baked enough cakes to fill their order?","</b>No. <b> The baker hasn't made at least   8 chocolate cakes","critical","na","na"
"54","presents","some","positive",4,"primed","This year at Christmas, Suzy got  presents from her aunts, uncles and cousins","Did her classmate Timmy get some presents from his relatives?","</b>Yes. <b> Timmy got some presents from his relatives","critical","na","na"
"55","builders","any","negative",4,"primed","Last year, the construction company built  houses in California, Arizona and Nevada","Has the company completed any houses this year?","</b>No. <b> The company hasn't constructed any houses this year","critical","na","na"
"56","jobposting","bare","positive",4,"primed","The last time we advertised a job opening,    30 people applied from all over the country","Are we seeing similar results for the currently advertised job?","</b>Yes. <b> We've received    30 applications for the current job","critical","na","na"
"57","chairs","about","negative",5,"primed","This evening, about   16 committee members will be coming for the planning meeting","Do we have enough seats in the meeting room?","</b>No. <b> We haven't set up about   16 chairs in the meeting room","critical","na","na"
"58","journalist","between","positive",5,"primed","The famous journalist has published between   10  and  15 in-depth articles in The New York Times","Has her work appeared as often in The Washington Post?","</b>Yes. <b> The journalist has written between   10  and  15 articles for The Washington Post","critical","na","na"
"59","tulips","morethan","negative",5,"primed","There are more than   40 tulip bulbs in the bag we bought at the nursery","Is there space to plant them in the garden?","</b>No. <b> We don't have space to plant more than   40 tulip bulbs","critical","na","na"
"60","tickets","atleast","positive",5,"primed","There are at least   20 people on the waiting list for tonight's concert","Have tickets become available for all of them?","</b>Yes. <b> We have at least   20 tickets available","critical","na","na"
"61","nominees","some","negative",5,"primed","The teachers have nominated  promising students to receive scholarships","Do we have some money in our budget to pay for them?","</b>No. <b> We don't have the money for some scholarships","critical","na","na"
"62","salesmeeting","any","positive",5,"primed","In two weeks,  regional employees will be flying to company headquarters for the annual sales meeting","Have we booked any hotel rooms for them?","</b>Yes. <b> We've made any hotel reservations","critical","na","na"
"63","exam","bare","negative",5,"primed","If a student's exam paper contains    10 misspelled words, it may need to be rewritten","Will Connor's exam paper need to be rewritten?","</b>No. <b> There weren't    10 spelling errors in his exam","critical","na","na"
"64","voting","about","positive",5,"primed","The Board of Elections predicted that about   200 overseas voters would vote by mail","Is that how many absentee ballots have been mailed in?","</b>Yes. <b> We've received about   200 absentee ballots","critical","na","na"
"65","delegates","between","negative",5,"primed","This afternoon, between   15  and  20 delegates will be arriving to attend the convention","Do we have enough copies of the agenda for them? ","</b>No. <b> We haven't printed between   15  and  20 copies of the agenda","critical","na","na"
"66","cakes","morethan","positive",5,"primed","The hotel has ordered more than   8 large chocolate cakes for the party tonight","Have we baked enough cakes to fill their order?","</b>Yes. <b> The baker has made more than   8 chocolate cakes","critical","na","na"
"67","presents","atleast","negative",5,"primed","This year at Christmas, Suzy got at least   12 presents from her aunts, uncles and cousins","Did her classmate Timmy get as many presents?","</b>No. <b> Timmy didn't get at least   12 presents from his relatives","critical","na","na"
"68","builders","some","positive",5,"primed","Last year, the construction company built  houses in California, Arizona and Nevada","Has the company also completed some houses this year?","</b>Yes. <b> The company has constructed some houses this year","critical","na","na"
"69","jobposting","any","negative",5,"primed","The last time we advertised a job opening,  people applied from all over the country","Has anyone applied so far to the currently advertised job?","</b>No. <b> We haven't received any applications for the current job","critical","na","na"
"70","algebra","bare","positive",5,"primed","We predicted that    40 sophomores would register for the advanced algebra class","Are the registrations in line with what we expected?","</b>Yes. <b> There are    40 sophomores registered for the class","critical","na","na"
"71","journalist","about","negative",6,"primed","The famous journalist has published about   15 in-depth articles in The New York Times","Has her work appeared as often in The Washington Post?","</b>No. <b> The journalist hasn't written about   15 articles for The Washington Post","critical","na","na"
"72","tulips","between","positive",6,"primed","There are between   30  and  40 tulip bulbs in the bag we bought at the nursery","Is there space to plant them in the garden?","</b>Yes. <b> We have space to plant between   30  and  40 tulip bulbs","critical","na","na"
"73","tickets","morethan","negative",6,"primed","There are more than   20 people on the waiting list for tonight's concert","Have tickets become available for all of them?","</b>No. <b> We don't have more than   20 tickets available","critical","na","na"
"74","nominees","atleast","positive",6,"primed","The teachers have nominated at least   20 promising students to receive scholarships","Do we have enough money in our budget to cover that many?","</b>Yes. <b> We have the money for at least   20 scholarships","critical","na","na"
"75","salesmeeting","some","negative",6,"primed","In two weeks,  regional employees will be flying to company headquarters for the annual sales meeting","Have we booked some hotel rooms for them?","</b>No. <b> We haven't made some hotel reservations","critical","na","na"
"76","exam","any","positive",6,"primed","If a student's exam paper contains  misspelled words, it may need to be rewritten","Did Connor's exam paper have any misspelled words?","</b>Yes. <b> There were any spelling errors in his exam","critical","na","na"
"77","voting","bare","negative",6,"primed","The Board of Elections predicted that    200 overseas voters would vote by mail","Is that how many absentee ballots have been mailed in?","</b>No. <b> We haven't received    200 absentee ballots","critical","na","na"
"78","delegates","about","positive",6,"primed","This afternoon, about   20 delegates will be arriving to attend the convention","Do we have enough copies of the agenda for them? ","</b>Yes. <b> We've printed about   20 copies of the agenda","critical","na","na"
"79","cakes","between","negative",6,"primed","The hotel has ordered between   6  and  8 large chocolate cakes for the party tonight","Have we baked enough cakes to fill their order?","</b>No. <b> The baker hasn't made between   6  and  8 chocolate cakes","critical","na","na"
"80","presents","morethan","positive",6,"primed","This year at Christmas, Suzy got more than   12 presents from her aunts, uncles and cousins","Did her classmate Timmy get as many presents?","</b>Yes. <b> Timmy got more than   12 presents from his relatives","critical","na","na"
"81","builders","atleast","negative",6,"primed","Last year, the construction company built at least   80 houses in California, Arizona and Nevada","Is the company's performance similar this year?","</b>No. <b> The company hasn't constructed at least   80 houses this year","critical","na","na"
"82","jobposting","some","positive",6,"primed","The last time we advertised a job opening,  people applied from all over the country","Have some people already applied to the currently advertised job?","</b>Yes. <b> We've received some applications for the current job","critical","na","na"
"83","algebra","any","negative",6,"primed","We predicted that  sophomores would register for the advanced algebra class","Have any sophomores registered so far?","</b>No. <b> There aren't any sophomores registered for the class","critical","na","na"
"84","chairs","bare","positive",6,"primed","This evening,    16 committee members will be coming for the planning meeting","Do we have enough seats in the meeting room?","</b>Yes. <b> We've set up    16 chairs in the meeting room","critical","na","na"
"85","tulips","about","negative",7,"primed","There are about   40 tulip bulbs in the bag we bought at the nursery","Is there space to plant them in the garden?","</b>No. <b> We don't have space to plant about   40 tulip bulbs","critical","na","na"
"86","tickets","between","positive",7,"primed","There are between   15  and  20 people on the waiting list for tonight's concert","Have tickets become available for all of them?","</b>Yes. <b> We have between   15  and  20 tickets available","critical","na","na"
"87","nominees","morethan","negative",7,"primed","The teachers have nominated more than   20 promising students to receive scholarships","Do we have enough money in our budget to cover that many?","</b>No. <b> We don't have the money for more than   20 scholarships","critical","na","na"
"88","salesmeeting","atleast","positive",7,"primed","In two weeks, at least   60 regional employees will be flying to company headquarters for the annual sales meeting","Have we booked hotel rooms for them?","</b>Yes. <b> We've made at least   60 hotel reservations","critical","na","na"
"89","exam","some","negative",7,"primed","If a student's exam paper contains  misspelled words, it may need to be rewritten","Did Connor's exam paper have some misspelled words?","</b>No. <b> There weren't some spelling errors in his exam","critical","na","na"
"90","voting","any","positive",7,"primed","The Board of Elections predicted that  overseas voters would vote by mail","Have any absentee ballots been mailed in so far?","</b>Yes. <b> We've received any absentee ballots","critical","na","na"
"91","delegates","bare","negative",7,"primed","This afternoon,    20 delegates will be arriving to attend the convention","Do we have enough copies of the agenda for them? ","</b>No. <b> We haven't printed    20 copies of the agenda","critical","na","na"
"92","cakes","about","positive",7,"primed","The hotel has ordered about   8 large chocolate cakes for the party tonight","Have we baked enough cakes to fill their order?","</b>Yes. <b> The baker has made about   8 chocolate cakes","critical","na","na"
"93","presents","between","negative",7,"primed","This year at Christmas, Suzy got between   8  and  12 presents from her aunts, uncles and cousins","Did her classmate Timmy get as many presents?","</b>No. <b> Timmy didn't get between   8  and  12 presents from his relatives","critical","na","na"
"94","builders","morethan","positive",7,"primed","Last year, the construction company built more than   80 houses in California, Arizona and Nevada","Is the company's performance similar this year?","</b>Yes. <b> The company has constructed more than   80 houses this year","critical","na","na"
"95","jobposting","atleast","negative",7,"primed","The last time we advertised a job opening, at least   30 people applied from all over the country","Are we seeing similar results for the currently advertised job?","</b>No. <b> We haven't received at least   30 applications for the current job","critical","na","na"
"96","algebra","some","positive",7,"primed","We predicted that  sophomores would register for the advanced algebra class","Have some sophomores already registered?","</b>Yes. <b> There are some sophomores registered for the class","critical","na","na"
"97","chairs","any","negative",7,"primed","This evening,  committee members will be coming for the planning meeting","Are there any seats in the meeting room?","</b>No. <b> We haven't set up any chairs in the meeting room","critical","na","na"
"98","journalist","bare","positive",7,"primed","The famous journalist has published    15 in-depth articles in The New York Times","Has her work appeared as often in The Washington Post?","</b>Yes. <b> The journalist has written    15 articles for The Washington Post","critical","na","na"
"99","tickets","about","negative",8,"primed","There are about   20 people on the waiting list for tonight's concert","Have tickets become available for all of them?","</b>No. <b> We don't have about   20 tickets available","critical","na","na"
"100","nominees","between","positive",8,"primed","The teachers have nominated between   15  and  20 promising students to receive scholarships","Do we have enough money in our budget to cover that many?","</b>Yes. <b> We have the money for between   15  and  20 scholarships","critical","na","na"
"101","salesmeeting","morethan","negative",8,"primed","In two weeks, more than   60 regional employees will be flying to company headquarters for the annual sales meeting","Have we booked hotel rooms for them?","</b>No. <b> We haven't made more than   60 hotel reservations","critical","na","na"
"102","exam","atleast","positive",8,"primed","If a student's exam paper contains at least   10 misspelled words, it may need to be rewritten","Will Connor's exam paper need to be rewritten?","</b>Yes. <b> There were at least   10 spelling errors in his exam","critical","na","na"
"103","voting","some","negative",8,"primed","The Board of Elections predicted that  overseas voters would vote by mail","Have some absentee ballots already been mailed in?","</b>No. <b> We haven't received some absentee ballots","critical","na","na"
"104","delegates","any","positive",8,"primed","This afternoon,  delegates will be arriving to attend the convention","Do we have any copies of the agenda for them?","</b>Yes. <b> We've printed any copies of the agenda","critical","na","na"
"105","cakes","bare","negative",8,"primed","The hotel has ordered    8 large chocolate cakes for the party tonight","Have we baked enough cakes to fill their order?","</b>No. <b> The baker hasn't made    8 chocolate cakes","critical","na","na"
"106","presents","about","positive",8,"primed","This year at Christmas, Suzy got about   12 presents from her aunts, uncles and cousins","Did her classmate Timmy get as many presents?","</b>Yes. <b> Timmy got about   12 presents from his relatives","critical","na","na"
"107","builders","between","negative",8,"primed","Last year, the construction company built between   70  and  80 houses in California, Arizona and Nevada","Is the company's performance similar this year?","</b>No. <b> The company hasn't constructed between   70  and  80 houses this year","critical","na","na"
"108","jobposting","morethan","positive",8,"primed","The last time we advertised a job opening, more than   30 people applied from all over the country","Are we seeing similar results for the currently advertised job?","</b>Yes. <b> We've received more than   30 applications for the current job","critical","na","na"
"109","algebra","atleast","negative",8,"primed","We predicted that at least   40 sophomores would register for the advanced algebra class","Are the registrations in line with what we expected?","</b>No. <b> There aren't at least   40 sophomores registered for the class","critical","na","na"
"110","chairs","some","positive",8,"primed","This evening,  committee members will be coming for the planning meeting","Are there some seats in the meeting room?","</b>Yes. <b> We've set up some chairs in the meeting room","critical","na","na"
"111","journalist","any","negative",8,"primed","The famous journalist has published  in-depth articles in The New York Times","Has she published any articles in The Washington Post?","</b>No. <b> The journalist hasn't written any articles for The Washington Post","critical","na","na"
"112","tulips","bare","positive",8,"primed","There are    40 tulip bulbs in the bag we bought at the nursery","Is there space to plant them in the garden?","</b>Yes. <b> We have space to plant    40 tulip bulbs","critical","na","na"
"113","nominees","about","negative",9,"primed","The teachers have nominated about   20 promising students to receive scholarships","Do we have enough money in our budget to cover that many?","</b>No. <b> We don't have the money for about   20 scholarships","critical","na","na"
"114","salesmeeting","between","positive",9,"primed","In two weeks, between   50  and  60 regional employees will be flying to company headquarters for the annual sales meeting","Have we booked hotel rooms for them?","</b>Yes. <b> We've made between   50  and  60 hotel reservations","critical","na","na"
"115","exam","morethan","negative",9,"primed","If a student's exam paper contains more than   10 misspelled words, it may need to be rewritten","Will Connor's exam paper need to be rewritten?","</b>No. <b> There weren't more than   10 spelling errors in his exam","critical","na","na"
"116","voting","atleast","positive",9,"primed","The Board of Elections predicted that at least   200 overseas voters would vote by mail","Is that how many absentee ballots have been mailed in?","</b>Yes. <b> We've received at least   200 absentee ballots","critical","na","na"
"117","delegates","some","negative",9,"primed","This afternoon,  delegates will be arriving to attend the convention","Do we have some copies of the agenda for them?","</b>No. <b> We haven't printed some copies of the agenda","critical","na","na"
"118","cakes","any","positive",9,"primed","The hotel has ordered  large chocolate cakes for the party tonight","Have we baked any cakes to fill their order?","</b>Yes. <b> The baker has made any chocolate cakes","critical","na","na"
"119","presents","bare","negative",9,"primed","This year at Christmas, Suzy got    12 presents from her aunts, uncles and cousins","Did her classmate Timmy get as many presents?","</b>No. <b> Timmy didn't get    12 presents from his relatives","critical","na","na"
"120","builders","about","positive",9,"primed","Last year, the construction company built about   80 houses in California, Arizona and Nevada","Is the company's performance similar this year?","</b>Yes. <b> The company has constructed about   80 houses this year","critical","na","na"
"121","jobposting","between","negative",9,"primed","The last time we advertised a job opening, between   25  and  30 people applied from all over the country","Are we seeing similar results for the currently advertised job?","</b>No. <b> We haven't received between   25  and  30 applications for the current job","critical","na","na"
"122","algebra","morethan","positive",9,"primed","We predicted that more than   40 sophomores would register for the advanced algebra class","Are the registrations in line with what we expected?","</b>Yes. <b> There are more than   40 sophomores registered for the class","critical","na","na"
"123","chairs","atleast","negative",9,"primed","This evening, at least   16 committee members will be coming for the planning meeting","Do we have enough seats in the meeting room?","</b>No. <b> We haven't set up at least   16 chairs in the meeting room","critical","na","na"
"124","journalist","some","positive",9,"primed","The famous journalist has published  in-depth articles in The New York Times","Has she also published some articles in The Washington Post?","</b>Yes. <b> The journalist has written some articles for The Washington Post","critical","na","na"
"125","tulips","any","negative",9,"primed","There are  tulip bulbs in the bag we bought at the nursery","Is there any space to plant them in the garden?","</b>No. <b> We don't have space to plant any tulip bulbs","critical","na","na"
"126","tickets","bare","positive",9,"primed","There are    20 people on the waiting list for tonight's concert","Have tickets become available for all of them?","</b>Yes. <b> We have    20 tickets available","critical","na","na"
"127","salesmeeting","about","negative",10,"primed","In two weeks, about   60 regional employees will be flying to company headquarters for the annual sales meeting","Have we booked hotel rooms for them?","</b>No. <b> We haven't made about   60 hotel reservations","critical","na","na"
"128","exam","between","positive",10,"primed","If a student's exam paper contains between   5  and  10 misspelled words, it may need to be rewritten","Will Connor's exam paper need to be rewritten?","</b>Yes. <b> There were between   5  and  10 spelling errors in his exam","critical","na","na"
"129","voting","morethan","negative",10,"primed","The Board of Elections predicted that more than   200 overseas voters would vote by mail","Is that how many absentee ballots have been mailed in?","</b>No. <b> We haven't received more than   200 absentee ballots","critical","na","na"
"130","delegates","atleast","positive",10,"primed","This afternoon, at least   20 delegates will be arriving to attend the convention","Do we have enough copies of the agenda for them? ","</b>Yes. <b> We've printed at least   20 copies of the agenda","critical","na","na"
"131","cakes","some","negative",10,"primed","The hotel has ordered  large chocolate cakes for the party tonight","Have we baked some cakes to fill their order?","</b>No. <b> The baker hasn't made some chocolate cakes","critical","na","na"
"132","presents","any","positive",10,"primed","This year at Christmas, Suzy got  presents from her aunts, uncles and cousins","Did her classmate Timmy get any presents from his relatives?","</b>Yes. <b> Timmy got any presents from his relatives","critical","na","na"
"133","builders","bare","negative",10,"primed","Last year, the construction company built    80 houses in California, Arizona and Nevada","Is the company's performance similar this year?","</b>No. <b> The company hasn't constructed    80 houses this year","critical","na","na"
"134","jobposting","about","positive",10,"primed","The last time we advertised a job opening, about   30 people applied from all over the country","Are we seeing similar results for the currently advertised job?","</b>Yes. <b> We've received about   30 applications for the current job","critical","na","na"
"135","algebra","between","negative",10,"primed","We predicted that between   30  and  40 sophomores would register for the advanced algebra class","Are the registrations in line with what we expected?","</b>No. <b> There aren't between   30  and  40 sophomores registered for the class","critical","na","na"
"136","chairs","morethan","positive",10,"primed","This evening, more than   16 committee members will be coming for the planning meeting","Do we have enough seats in the meeting room?","</b>Yes. <b> We've set up more than   16 chairs in the meeting room","critical","na","na"
"137","journalist","atleast","negative",10,"primed","The famous journalist has published at least   15 in-depth articles in The New York Times","Has her work appeared as often in The Washington Post?","</b>No. <b> The journalist hasn't written at least   15 articles for The Washington Post","critical","na","na"
"138","tulips","some","positive",10,"primed","There are  tulip bulbs in the bag we bought at the nursery","Is there some space to plant them in the garden?","</b>Yes. <b> We have space to plant some tulip bulbs","critical","na","na"
"139","tickets","any","negative",10,"primed","There are  people on the waiting list for tonight's concert","Have any tickets become available for them?","</b>No. <b> We don't have any tickets available","critical","na","na"
"140","nominees","bare","positive",10,"primed","The teachers have nominated    20 promising students to receive scholarships","Do we have enough money in our budget to cover that many?","</b>Yes. <b> We have the money for    20 scholarships","critical","na","na"
"141","exam","about","negative",11,"primed","If a student's exam paper contains about   10 misspelled words, it may need to be rewritten","Will Connor's exam paper need to be rewritten?","</b>No. <b> There weren't about   10 spelling errors in his exam","critical","na","na"
"142","voting","between","positive",11,"primed","The Board of Elections predicted that between   150  and  200 overseas voters would vote by mail","Is that how many absentee ballots have been mailed in?","</b>Yes. <b> We've received between   150  and  200 absentee ballots","critical","na","na"
"143","delegates","morethan","negative",11,"primed","This afternoon, more than   20 delegates will be arriving to attend the convention","Do we have enough copies of the agenda for them? ","</b>No. <b> We haven't printed more than   20 copies of the agenda","critical","na","na"
"144","cakes","atleast","positive",11,"primed","The hotel has ordered at least   8 large chocolate cakes for the party tonight","Have we baked enough cakes to fill their order?","</b>Yes. <b> The baker has made at least   8 chocolate cakes","critical","na","na"
"145","presents","some","negative",11,"primed","This year at Christmas, Suzy got  presents from her aunts, uncles and cousins","Did her classmate Timmy get some presents from his relatives?","</b>No. <b> Timmy didn't get some presents from his relatives","critical","na","na"
